@relation toclassify

@attribute classPol {0,4}
@attribute text String

@data
0,'  hi ken I\'m stuck in Dublin huge snooker fan but no red button or any way to be at v live  could you help'
0,' I miss my bad ass crew  '
0,'  I\'ll be sitting with the home fans don\'t think anyone will mind if I show my allegiance if we do it Vardy banned though '
0,' this is so SAD  STAN STELLAR'
0,'  unofficial poor Rachael she just wants to help us make fresh and healthy 30 minute meals '
0,'  nicole09 found it in the bathroom '
0,'  I didn\'t see this in my mentions  but thank you so much I was first row it was more than amazing'
0,' I feel bad for just following Mei  She\'s so nice I-'
0,'  you are not an iron '
0,'  she\'s been mean on every show '
0,'    it\'s awful isn\'t it - not safe anywhere unattended '
0,' What a week for Irish MMA  cut from UFC200  a traitor to his people Now  forced to retire '
0,' luke hemmings why is it so hard to follow me '
0,' my baby\'s all grown '
0,'  hope you feel better '
0,'  lucyflight I miss u   '
0,'  we\'ve tried that  We\'ve tried two different kinds even He doesn\'t seem bothered'
0,' WELP it\'s late and I need to go sleep '
0,' Girl same  '
0,' i\'m trying luke hemmings follow since ever and I feel like giving up '
0,'  if he has everything does that mean his guns are pine coming too Be that\'s exactly what JUST happened to my favourite fish '
0,'  there\'s no way we\'re gonna find it '
0,'   The link doesn\'t point to the advertised video but to a dating site -  '
0,' His ban means he misses this moment  '
0,'  what > '
0,' can you imagine how happy i\'d be if infinite used the v app daily or even regularly god '
0,' Feels weird being away from Felicity and not annoying her '
0,' JoshuaNeverGiveUp I know you\'re going to go far pls don\'t let people\'s negativity get to you Your way better   Greaux'
0,'  Septic Eye Never had it '
0,'  i did it was heartbreaking '
0,'  oh no '
0,' i can\'t see my \"luke hemmings follows you\"  do something about it'
0,'   baby '
0,' rip Phil  '
0,' The red woman will haunt my dreams '
0,'  m myers more upset over the 28 humanity '
0,' whenever i think of the fact that luke hemmings doesn\'t follow me it makes me want to cry '
0,'  CoD you took me out of bio  Say that corrupt is your duo '
0,'  All of it There are so many hidden ingredients '
0,'  I was that the Seattle show What are the song names  played I want to hear them again I can\'t find a list '
0,'  Please bring this tour to Brazil we miss y\'ll so much '
0,' I liked a  video  Tekkit episode 2 Tekkit doesn\'t want me to go to mars '
0,'  $60m would be a lot to lose just to be the chief haggis purveyor I don\'t blame them '
0,'   ahh well Catch ye nxt wk'
0,' 4 months without the lump ? miss her so much  '
0,' Does anyone have class with Salma I have her phone '
0,'   Thanks Bitter sweet packing the planks away '
0,' I feel like I\'ve been with karen a lot today already missing her '
0,'   s\'gone '
0,' want tacos '
0,' Puppy turns 4 today  and I don\'t get to see him bc my ex told me I couldn\'t take him even tho he didn\'t want a dog in the frst place'
0,'  Im only on season 3 '
0,'  omg yes please do another theatre show '
0,'  nicholas yeah but how many of the 10 enjoyed the protection of the corrupt establishment my guess is zero '
0,'  what happened '
0,' My tea is GONE '
0,'  yeah this is weird as fuck & we can\'t use emojis '
0,' Gave away half a burrito bc I was full then got hungry again 10 minutes later '
0,'  core 2 and decision will be the death of me tho '
0,' As soon as I\'m mentally rested its time to go back to work '
0,'  rough morning I need hugs '
0,'  no you been making me mad all day '
0,'  PIMO same I was hoping he was gonna kill the girl poor guy didn\'t even have a chance '
0,' i miss my little babies so much '
0,'  Metro sorry to hear Cam '
0,' The problem with Facebook is they only remove stuff with half naked men or same sex kissing  '
0,' Why did I wear my theas today my feet are already aching '
0,'  x3 sorry i couldnt say hi  your brother always wants attention He always locks you guys out'
0,' I want chipotle but '
0,' I totally really miss Justin Bieber on this era  if I could turn back time ?? '
0,'  exe armer Sam '
0,'  come back and love us '
0,'  i love you and i\'ll probably never see you  you won\'t follow me neither'
0,' I love history but it\'s a long process '
0,'   not me'
0,'  oh goddammitThe car I want is mainly automatic lol '
0,'  Traime pizza de Little Caesars de Ohio please '
0,' I\'m still awake  '
0,'  aw man  I hadn\'t thought of that'
0,'  snark Double '
0,' this music industry sucks rn  so much pressure'
0,' I\'m never working out again everything hurts '
0,'  TonnieeLee I saw that I just '
0,' Getting a little headache '
0,'  now I\'m confused so many suggestions '
0,' Too bad enrique isnt here to enjoy the popusas w/ me '
0,'  I WANNA SEND SCREENSHOTS AND VN YOU ALL THIS BUT I\'VE BEEN STUDYING SO  TOMORROW WHEN I GET BACK FROM SCHOOL'
0,'  Yay My heart is just breaking for George '
0,' i could be going to PurposeTourDetroit today but nope '
0,'  So gutted though '
0,' why is it so cold today '
0,'  aw bro  x'
0,'  Noo  We\'ll see what happens Will definitely be coming to you for suggestions of things to do/see'
0,' My heart  '
0,' it\'s not that we were all close or all really good friends but we were like a little section of the fandom and it was cute '
0,'  come back to Toronto I never met you when you were here last time '
0,'  IK LIKE U ALREADY SHOWED US THEIR FACES and yes dndnvjdjdj that\'d be so nice I wanna kno more abt them '
0,' we got new basketballs and I want to play with them '
0,'  On one of her paws yes  Not very long less than two weeks I believe But we\'ll find her a good/safe home'
0,'  will it ever stop '
0,' I don\'t look good today '
0,' I want back  '
0,'  awe tell me how bad his tone hurt you '
0,'  calla '
0,' I miss Bradford '
0,' happy to go home for the summer but low key sad to leave all my friends '
0,' my boss emailed me to come in as early as possible tomorrow i cry '
0,' vid in a sec photoshop didn\'t let me do the normal thumbnail  '
0,' HAPPY BIRTHDAY  haisma ? I miss study hall w/ u '
0,'  me too  sometimes I\'ll forget for days to take it'
0,'  non  *unfollow*'
0,'  hell Yeah I am '
0,' 15 hours later I am home Sad knowing I will be back at work in 9 hours time '
0,' uff  kill cameron sorry marry mattfuck tyler '
0,' Pobre bichinho  “The black pit bull had been chained for almost 10 years ” https //t co/jpvGXN9KGo via '
0,'  And there is absolutely no way to recover the stream before That is so saad '
0,' Can\'t always get what you want  I\'m not even being unrealistic tho AZ is just trash'
0,'  i miss you too '
0,'   we\'ll be here waiting and rooting for you'
0,' got revision to do but memes are priorities '
0,' i dont wanna sound attention seeking and ugly and idJdifjk but they always made me so much happier every sunday i miss that  '
0,' helloo it\'s me '
0,'  unofficial poor Rachel Ray she just wants to help us make 30 minute meals '
0,'  jeanne don\'t play w my feelings like that '
0,' Might write a thing about this season this summer I\'m off I\'m sad coys '
0,' someone go get ice cream w me '
0,'  wtf they\'re catching up  it should b both elii'
0,' I got work at 3 '
0,'  i was asleep and wasnt able to watch the final ineternet takeover '
0,' Someone send me $100 so I can fix it '
0,'   Arafat did the best he could the cards were stacked against him Hate to c where Palestinians would have been without him'
0,' Too much emosh right now    but  for TheHawks bbcsnooker I\'m wiped x'
0,' So many people seeing justin on my TL '
0,' Damn '
0,' I\'ve got exams next week  '
0,'    East Belgium too '
0,' what happened to gradingus '
0,' Damn  '
0,'  kennedy97 bc then you wont look like diego anymore '
0,' hearing that last night fucked me up emotionally lol  like I just want to be left alone man'
0,' What I would do to be able to afford to do all three nights hotels are so much  McFlyAnthology'
0,' MISSING DOG ALERTPlease share to help reunite WILSON with his family He is greatly missed  '
0,' He makes me so sad yet so happy    '
0,'  hi i have two exams tomorrow please wish me luck i\'ll fail these i feel it '
0,'   Ah right sorry Didnt realise thats why you were RTing it '
0,' Don\'t think so  '
0,'  i cant '
0,'  Hylander  have you managed to sort it out'
0,'  r u ok I hope everything is ok '
0,' Sick during finals week '
0,' My video is taking a very long time to process but hopefully it will be out very soon Sorry guys '
0,' I feel like I\'m not important to her '
0,'  tweets ha ha they\'re long gone unfortunately  as the titles are clips from previous episodes'
0,' want food '
0,' I miss hearing their voices already '
0,' so pretty  '
0,' i love all of my mutuals sm '
0,' Lenny Williams-Cause I Love You  '
0,' I wish I was good at make up '
0,'  bear3 I will  gonna miss you for sure '
0,' The Purge is coming But mainly if your queer If your trans its already here  '
0,'  why is the tour during exams '
0,' Gastritis is the worst '
0,'  not one near enough unfortunately '
0,' can today just stop im really fed up of this bad news '
0,' oh no  RIP  Trainor '
0,' what they did here was so abusive  '
0,' When you wanna pre-order Konnichiwa but iTunes says not available in your country  '
0,'  IM waiting for you to see this '
0,' It makes me cry  '
0,' My baby does have a collapsed lung '
0,'  notice Bear is calling him Patrick not Paddy Spoiler alert Patrick is his obituary name   theisland'
0,' For the last 18 and a half years of my life flying hasn\'t bothered me in the slightest now I\'ve hit 19 and am terrified  '
0,' When Lu is getting too big  '
0,'  Ack I will be leaving on July 23rd of course Womp womp '
0,' why do my biscuits keep breaking  life is difficult'
0,' so many groups i want to get into but not enough time '
0,' I don\'t understand how people mispronounce my name '
0,' I want to nap for all of the times  xx '
0,'  when we have conversations if someone responses with \"interesting\" does that mean s/he thinks this conversation is boring '
0,'  THATS THE WORST  I wish these exams were a little bit after school ends because I still have other things to do /'
0,' STRLAUGH so do I '
0,' the current Sherlock fandom makes me miss how me amira grace Han beth mandii Izzy Hannah Sarah Laura etc etc used to be '
0,'  A L I my head is banging terribly '
0,'  happy birthday baby I love & miss you so unbelievably much  ??'
0,'  they\'re still looking '
0,'  that\'s so strange  bottled water is usually mineral deficient too so that probably wouldn\'t help'
0,'  uhh g '
0,'  They\'re not playing anywhere accessible to me '
0,' Man spotify is actually big enough now that they don\'t offer the 3 months for 99 cent deal Now ill actually have to pay monthly '
0,'  I said no '
0,'  rql miss you '
0,' No earphones today '
0,' i want gong cha too '
0,' Well this episode is depressing as hell '
0,'  dont ignore me '
0,'  what\'s the point of having these SAVE25 sales if they can\'t be used on half the items in the shop '
0,'  aww  I love you dmnn I have great friends ?? it\'s so emotionally all this'
0,' Too Much Information '
0,'  green oh I just realised you were quoting my badd  xx'
0,' throwback Thursday  '
0,' 11 11 Emily happy '
0,' My sleepy boyfriend i want to cuddle him  '
0,'  Ohh ouch'
0,' These better help  '
0,'  TristenRamirez  I saved my snapstory and I keep watching it '
0,'  asdfg x2 '
0,'  I can\'t cry tnught '
0,'  I have no hearts '
0,' Absolutely terrified for these exams '
0,'  MVD I\'m sorry  part 1 I didn\'t mention hms but in the next parts I made sure to name hms Part 4 today did a good job with that'
0,' Always great when the odyssey stops taking tweets as shares for articles out of nowhere  share on fb and I will love you forever ????'
0,' My cat has gone out and he hasn\'t returned home yet I\'m bare scared '
0,' THE LEXA PLEDGE will definitely read it  But have an exam tomorrow sorry can\'t participate in the trend  '
0,' ? ony-b life is hard  '
0,'  xo  I love u'
0,' 5 months in and the little one still only sleeps midnight til 3 and then 4-7 I just want a decent sleep Constantly tired '
0,' Dont wanna go to work today '
0,' too much traffic '
0,' I hate that it is the season finale already  '
0,' I really miss Wes I haven\'t seen him in so long  I love you babe? '
0,'  polska me please '
0,' 11 11 seeing the boys soon again '
0,'  Maybe add something to it its annoying when you help the whole instance and they just kick you anyway to stop this '
0,' now ppl are playing VU in eu but i really want to sleep '
0,'  wish I could\'ve met you '
0,' I was rowan\'s for like 2 seconds poor boy spent all the money on me  '
0,'     me too It\'s such a beautiful day too  if Doug announces next DLM date plz tell us'
0,' My heart still breaks  '
0,'  za hope u get someone like him '
0,' 11 11 meet  '
0,'  Aww I missed you too ? I still feel bad tho '
0,' I wanna put kisses all over it '
0,' Long time no speak  '
0,' far too happy to be back in bed work was so slow tonight '
0,' All I miss when at uni is having a pet to play with '
0,'  one in one hand and two in the other hand I have no idea; if I had 3 dogs they\'d get tangled constantly  How\'s Mishkeen'
0,' Ah Ronnie\'s out you did great  ilovesnooker'
0,'   no pls '
0,' When you have to do chem hw but all you want to do is read more of To Kill a Mockingbird '
0,' Yo who took my jacket '
0,'  ah man hope she pulls through '
0,' Why do some job applications ask your typing speed How do you find out your typing speed \"Adulting\" is hard '
0,'  no  keep them up'
0,'  Bay Area '
0,' this breaks my heart  '
0,' so luckily it will get better now  awh hun sorry to hear I know the struggle  hope you are alright <3 '
0,'  i\'m sorry to hear that '
0,' How bad is George McIlraith Bridge for ottbike\'s I opted to take Riverdale to Bank St to get across Rideau River this afternoon '
0,'  Greaux babe  you okay'
0,'  can you make this video available in America If I can\'t go to the tour I want to at least watch it  '
0,'  Not yet I hesitate Apple devices are so BEAUTIFUL ? but the functionalities without JB are 0/20 '
0,' i loev James potte r so mcuh  \'a'
0,'  baby '
0,'  Wow gettin me all emotional over here if i didn\'t have class in the morning i\'d be on my way home  love you all so much'
0,'  literally after tweeting that I went over to channel 4 and it wasn\'t on there?? so I don\'t think it\'s airing tonight '
0,' Josh choked me out today because the video I posted  Mans didn\'t care I couldn\'t breath '
0,'  Thanks And I love food too but it seems not to love me back '
0,' I know I\'m in a shit mood when I don\'t even want Mississippi mud pie '
0,'   foss'
0,'    it\'s not she\'s got a history of flashing the cam for donations she always gets off lightly with twitch '
0,' guys I\'m SO sad '
0,'  I\'ll stick with you for life I have loved all of your music and I am excited for more Now to find Red Rocks tickets '
0,'  *sigh* fine '
0,'   that sucks I\'m sorry'
0,' why does every second male lead deserve all these heartbreaks of watching his girl looking at the other man '
0,' i\'m so sad i hurt my finger playing football in school today  it\'s either just jammed and really swollen or i fractured it'
0,'  pronto okay '
0,'  my defence is kinda crappy '
0,'  I miss you  ?? '
0,'  It\'s for a class in teaching and Logic is just what\'s in the lab  Otherwise I would totally use Cubase'
0,'  I miss you so much  '
0,' last day as an Allstar cheerleader '
0,'  zola Not surprised you feel all churned up - appointments like that can take it out of you '
0,'  But those 15 seconds jk jk jk'
