@relation toclassify

@attribute classPol {0,4}
@attribute text string

@data
4,' Happy 9k views Thank you for the viewers Love you all ??? URL'
4,' USERNAME i love justin robert the robot cook and line Gem and Captain sinker too join me for dinner thay be welcome around my table??'
4,' Bro how you doing I have a good artiste that you would love to hear his track please kindly be of help 07059706585'
4,' USERNAME love the slippers Jason ?'
4,' The love between a mother and daughter forever ? URL'
4,' USERNAME Styles ?A boat needs ariver to keep floating and I needyou for my heart to keep beating?Mind following me I Love you H ? —11 016'
4,' Love you from Poland xx URL'
4,' Organ donation Make a will arrange my documents to get set the money to my family Give more love to everyone I meet URL'
4,' Royally speaking again love them when they least deserve it cuz thats when they really need it ? USERNAME thanks for the reminder'
4,' Wise men say only fools rush in ? Can\'t Help Falling In Love by Michael Bublé — URL'
4,' Love you forever ? Sugar by USERNAME with Okthatya — URL'
4,' Haha omg I take my brosky out for his bday an a airman ends up hittin on me an wantin to take me out Love life happy gentleman airman'
4,' When saw your smile I fell in love Love you Soorruu USERNAME URL'
4,' Even though I don\'t love you you do make me laugh'
4,' I love boobs ?'
4,' Settle for the one that shows you love and is there for you stop dreaming of \"Mr Mansion in Lekki- flit of Cars\" he aiint coming'
4,' Happy birthday sweetie USERNAME have a good one I love you so soo much ?'
0,' \"I finally understand… I\'m alone I won\'t believe in anyone or love anyone I\'m alone \"'
4,' WeRespectShahidAfridiWe Love And Respect Our Hero USERNAME URL'
4,' USERNAME no Camille I love you'
4,' Walk in for gas and the lady immediately asks who made me cry and if she can kick their ass I don\'t know you but I love you'
0,' If you don\'t like me someone else will If you\'re not missing me someone else is If you don\'t love me someone else does'
4,' I freaking love USERNAME'
4,' URL I just love it when you sing I miss you so much my baby USERNAME'
4,' USERNAME ?? I love you'
4,' pop music rock dance hits radio np now playing Holly Johnson In And Out Of Love URL'
0,' I just wanna fall back to sleep ?'
4,' Wishing Janice Chambers and Martin Clapson all the love in the world Have a brilliant day and may you live happily ever after xx'
4,' I love the pics from The Celebrity'
