@relation 'prova-weka.filters.unsupervised.attribute.Reorder-R2,1'

@attribute text string
@attribute classPol {0,4}

@data
' rt  omg lol rt  one step forward nine miles back | untoldentertainment com URL',4
'  hunteress i tipped the broncs tho can\'t argue with the skills unfortunately i feel dirty the dirt; it won\'t come off',4
'  you crack me up mel thanks for ur twitter messages sometimes aloha tia',4
'  thank you for the recommendation',4
' going back soon hooray for me its the weekend baby',4
'  whee speshull',4
' i\'m just thrilled today is friday nothing planned but the fact that it\'s the end of the week is good enough for me',4
' twitter seems shite study leave is great',4
'  suffering today aww pobrecito go get your self some good breakfast glad to know it was fun take anymore pictures xx',4
'  reply back to me now',4
'  i signed it',4
' i\'m still tired of being me i wanna be the new jan brady',4
'  that was a great finale thanks for the bad cliffhanger and for arija/chickie hope we will see more of her next season',4
' URL check motionportrait woow',4
' thanks  followfriday   twits    antho      ',4
' bored sick sick sick banging head ache coleen rooney is the best',4
' must sleep at least a few hours up at 7 will be back to work tomorrow 1p pst',4
'  oh you\'re back',4
' will go to work with a friend this morning and see what he does',4
' tuto uranium re-uploaded and ready to relaunch',4
'  thank you for the recommendation',4
' off to see two of my favourite gals thina and chelsea',4
'  not total which is more towards 600',4
'  ur hamster died oh that really sucks if mine dcied i\'d be in mourning for about 6 months what was it called mines called binx',4
' band auditions in 15 min all the best guys',4
'  dream head drain head',4
' hmm toast or danish first could be a tough day if it carries on like this',4
'  is that just to make us all feel bad',4
'  just the right side of tipsy fankoo',4
'  freakin crazy i thought you were movin out next year or you just comin to visit either way be safe bro',4
'  aww that was sweet of you thats why your my sweetie nothing but love back im shocked i got this much of your time love',4
'   thank you much appreciated ff followfriday',4
' try it again - the hives blue and yellow room - hell yes i think we have a million paint swatches so i may change my mind',4
'  in mk aww thanks',4
'  hey thought i would tweet this morning in london 10am & nothing to do aha how are you <3',4
'  can i go tomorrow please princess i\'m a bit busy today',4
' got that friday feeling',4
' good morning yeaah no school 2day i\'m lovin\' it',4
'  but yeah obama is a nerd he\'s mentioned here URL',4
' sitting in the living room the sun is shining through the windows drinkin coffee listening to good music',4
' is going to see cobra starship tonight',4
'  yo man cheers for the add hit me up sometime mate',4
' welcomes  to the twitterworld',4
' today chill-out with yvi & frazzi at the beach',4
'  nice day from sunny germany',4
'  ayase now if it was an in game give away competition for elite wings i could get you quite a few extra followers for that lol',4
'  how about \"objects may appear smaller than they actually are\" lmao',4
'  your comments on distro building make it sound easy now i\'m thinking about ubuntu desktop with no x and filled with cli/ncurses',4
' in new music we trust on radio 1 asta ascult eu acum',4
'  hah thanks',4
' URL <-- do it for the lulz',4
' goodnight everyone x',4
'  you\'re very welcome wp now - when will you lend an ear to marvellous angela hewitt for your solo bach requirements',4
' wishing i was in  henrie arms and laughing about jokes and other stuff lol',4
'  did you get it',4
'  don\'t tell big g £32 ouch cool as f**k though URL',4
'  STRLAUGH u got dm *winks* later i burn super midnight oil lehz the magic words come out liaoz \"next time\"',4
' taking my wee gran out today aww',4
' loves riley leblanc i\'ve \'got\' regionals now sunburn death',4
'  wow thanks v much jon followfriday',4
' pub golf was very very messy home for the weekend shortly taking my mister and seeing my mabel \"she doesnt show aircrash investigation\"',4
'  like oh dear hope it picks up - long weekend',4
'  so she was there in spirit',4
'  thanks mate',4
' URL - that\'s where i want to work not stalking but was visiting nearby and had a look',4
' ',4
'  they aren\'t as mighty as the broncos',4
' i vote for livewire to play live smiths tomorrow night for sure ',4
' /me is listening to sufjan stevens with a trackname that doesn\'t fit into a single tweet',4
' look what th checkers/chess table at starbucks has provoked URL very funny article just imagine being the ppl in th store',4
' wishes my baby all the luck on her law exam',4
'  was great to meet you today looking forward to diving into cf soon',4
' so excited for wicked in sydey  are you serious im so getting preggers next year',4
' wtf am i doing in trending topics STRLAUGH thankyou though does that mean people are talking about me yay',4
'  STRLAUGH i wish i could go to market with you as well hope you have an awesome weekend too',4
' thr\'s a sam\'s bar fan club in fb how cool is tht URL',4
' filling in spaces nothing more going to sleep soon',4
'  rocksteady heyy heyy don\'t be reading my stuff lol jk i\'m actually not emo yay for me only sometimes lol',4
' URL toatlly pointless video',4
'  yup everything was better in the good old days eh or not coolest police car ever in swe URL',4
' bittie hungover after work quiz night in tiger tiger last night its was good and worth suffering for today we can 2nd',4
' hi  i arrived at work safely',4
' my very first followfriday     ',4
' about 2 go 2 sleep tweet ya later',4
' definitely followfriday  hes abit cheeky but i loves him anyway xx',4
' i dnt have 2 fight my battles anymore bc god does it for me i will be patient & let him wrk it all out in his timing',4
'  hey david just wanna ask if went to manila temple when you\'re here in the phil last week',4
'  radio happy birthday claire',4
'  thanks heaps',4
' all this fuss about ida reminds me of piltdown',4
' oktoberfest in tyo URL i think we will go there and if it is good not only on time',4
'  i know i know it\'s my ray of hope',4
'  hehe yeah sam gets so excited when i come home',4
' is getting ready school and then kyle\'s house',4
'  jb yup nearly done wbu  mcflyandjb oh yay hurry and do it',4
' no english i hate that but it\'s funny',4
'  wright you\'ll sleep well tonight after alton on top of yesterday\'a ropes watch out for a blog on ropes session later',4
'  yay we are bradiewebb',4
'  sorry old bean but we\'re very very good friends with ',4
'  morning gio last night at the show in manaus tom had talk about you',4
' you know canada would actually be a pretty good place to sit out a zombie apocalypse',4
'  just tell me where i got to go',4
' finally friday is here',4
' more followfridays later  mm not a bad idea but i was really looking for a button that you add as the week goes on',4
'  kudos to the sask tourism board \"ground\" sounds much better than \"pemafrost\"',4
' friends at 5 am hell yeah',4
'  the very same how do you know jackie - i have a bone to pick with you - you stole my username',4
'  yeap cause we love you',4
'  harrison its okay im a workaholic too hehe',4
'  STRLAUGH i started it people werre doing shuan and andy and i started it STRLAUGH thanks all this is my 100th tweet',4
' i\'m awake it\'s amazin',4
'  thanks for calling dear really appreciate it',4
'  pilot was awesome i just don\'t have the patience to wait for it to load that\'s why brent will buy me a copy',4
' it was a good sleep feeling better and ankle seems to improve slightly didn\'t got worse sunny day off i\'ll try to enjoy',4
' forgot it was payday nice surprise',4
' bought the office season 2 gonna watch that while mum watches \'the lake house\' with keanu same face reeves',4
'  sing millionaires to me',4
'  STRLAUGH do you have school off today',4
' how you gonna see me spread the video if you\'re aren\'t following me travis m told about sd so its good to see you on here u n atl',4
'  have fun',4
'  ahh yes tis a lovely place we like st martin very much - great ice cream shop there',4
' needs slp no mor partyn 4me',4
' up late bored',4
'  hadn\'t thought of that one london six ways to do every journey and they all take the same length of time',4
'  hi saw your tweet about geo filtering-you might be interested in synthesio its only one of our filters URL',4
'  get a sammy who couldn\'t love him',4
'  but about you are they talking about STRLAUGH probably that your cool',4
'  thanks to all glasto peeps w/ ideas for friend getting a late ticket happy to announce party is now +one mad aussie chick',4
' finished a request',4
' friendly advice do not jump on a trampoline after eating almost a bucket of watermelon impossible to hold it in you will up chuck',4
'  lol you are right i can\'t wait for tomorrow night we actually saw them play and met jackson and chatted with the band',4
' watching seven pounds lately i\'ve been a fan of that redbox',4
'  rowe you would say that',4
' deadline\'s over i\'m not - URL',4
' i have offically started the 40 hour faminine no chocolate or coffee ahh laughs it\'s worth it in the end',4
' URL - they really are that vibrant i absolutely love the color',4
'  aww ur pretty nice twitpic',4
'  thinking of you and martine on vacation while i\'m slaving away here at school',4
'  that i can do',4
'  i found alist of thtv on dailymotion posted it on the forum you might want to spread to word',4
'  i won\'t be leaving till early afternoon yeah im excited looking forward to get away for afew days kids hyper too',4
' earlier today the trending topics were \'so you think you can\' and staight under it \'save earl\' i found it highly amusing',4
' beatbox girl supeer URL',4
'  goob aww thats great my mum said she sends her love the next goob has enterd the world i can\'t wait to see her all lil <3',4
'  STRLAUGH first andy then you next stop shaun',4
'  just for 2 weeks but perhaps not \'yours\' rather just \'a\' job',4
' at work until 2pm then off to the gym to lift weights can\'t wait temperature is already 17 on pei - beautiful day',4
' starting to feel a bit stressed but happy with more electricity what makes life easier in kathmandu',4
'  as always my friend as always',4
'  and yes it\'ll make me feel better',4
'  nope nothing to do with me got a driving lesson today too starting reversing and parking',4
'  hope you\'re not changing those sandy knickers for boxers you bad girl',4
'  welcome',4
' seen first sign for cambridge this makes me happy as means almost home eepp x',4
' rt  its not about trending topic for jaljeera  its our love for the desi drink   ',4
'  i like that smell too',4
' rangers game on sunday i = excited c\'mon the rangerss',4
'   well i didnt like to mention about the moustache im glad nether of you mentioned my zz top beard phew',4
' morning everyone',4
'  morning hun thank you',4
' catch the ateneo de manila college glee club tomorrow on gma\'s \"are you the next big star \"',4
'  i think we\'ll do that',4
'  all ive to say take care',4
'  yes it does mean people are talking about you and people love you lots',4
' so funny to see a woman do her full make on the tube she even got the eye lash vice tool out amazing she has that much stuff with her',4
'  also you are far from silly',4
'  toolbear i got carl too',4
'  oh no - i\'ve read the sent message now - just didn\'t makes sense when you leave it hours and were half asleep when texting',4
' if i say so myself as a non-programmer i wrote some s\% t-hot code today off to do dinner then back for some follow fridays',4
' g0odnight twitter fam',4
' aidan davis is soo hot',4
' gonna be getting my hair dyed back to blonde',4
' reading a j-14 magaine be4 igo 2bed long day 2mrw-getting hair done rehersal-getting my nailz done and more for my concert sat u coming',4
'  yeah it does - its good to be abel to plan routes',4
' friday night lights is coming back for a 4th season sweet URL',4
'  okayy thankx',4
' URL simply awesome and true the age of lispers will soon be upon us',4
'  when get into trouble sue',4
'  has assumed driving responsibilities speed will undoubtedly drop now',4
' that\'s really nice rt@eczemasupport a trio of moms doing their best followfriday   ',4
'  thanks \"re\"',4
' no idea if this is going to work as can\'t hear a thing on my pc fingies crossed URL',4
' i love my followers but i don\'t need an d message from u i don\'t like it sorry but thnx for doing it anyway',4
'  yess people are talking about you andy\'s still at the top of the list but i\'m determined to get you to the top',4
'  if some issue affects your friend you stand up about it whether it\'s an identified \"cause\" or a vindictive neighbour',4
'  art i agree with cris spend the monies you\'ve earned it what with all the work you have been putting out and all that swiming',4
' three more days',4
' going to take a shower',4
'  i\'ve met tatiana chudnovskaya and she said that she worked with you in that theatre she sent you \"hi \"',4
' please follow  she´s a friend of mine&she loves gg miley cyrus and more things i´m sure you would have fun talking to her',4
'  man i for real just ckd out the blog you reppin real things thanks for putting the work into such a great outlet',4
